X,Y,Z,item,pagerank,chosen
-23.768925,7.3646183,4.7429514,ieee 754,0.0011919584932935873,0.0
7.6014113,-6.3781247,3.1150918,problem shaping,0.0006821165698085304,0.0
3.861543,1.2037339,-5.6927767,artificial neural network,0.00011973313754561417,0.0
-4.9936237,-23.742521,11.286925,optimal control,6.651801466816533e-05,0.0
22.11568,11.006204,-8.620024,noogenesis,0.0002379695880348283,0.0
17.403027,-3.7051148,10.630743,natural-language processing,9.174966326033346e-05,1.0
-0.7741754,-15.8392105,14.960477,decision theory,0.00026086204222074865,0.0
-4.0224433,-5.8935714,-21.196272,3d printing,0.00011514378258393295,0.0
-0.7943631,18.271639,-5.8011274,optical illusion,0.0002859097191291046,0.0
-7.7881446,-5.936049,-15.310557,computer-aided design,0.00024197607420420517,0.0
16.181879,-16.192022,-7.4283476,data management,8.861238807888825e-05,0.0
7.303363,6.627742,0.5493234,artificial consciousness,0.00019666892591735846,0.0
0.7111046,1.4953672,-1.3121897,cognitive architecture,4.170485048249372e-05,0.0
4.83319,20.107412,-2.745282,perception,0.000350642816381385,0.0
-4.1957107,7.7957153,0.885964,dynamical systems theory,0.0007675046536439216,0.0
-17.916498,-13.340357,-14.640333,superlens,6.651801466816533e-05,1.0
17.632257,1.7772143,-18.56151,transhumanism,0.00021382378597363823,1.0
1.1201236,24.25316,-0.71478033,gestalt psychology,0.0002557619005261022,0.0
26.675241,-5.1954417,0.05231629,library,0.00016425669321465746,0.0
5.3215637,9.863322,-7.5164537,brain–computer interface,0.0003091981671705674,0.0
3.9870503,-8.329384,4.3164144,system dynamics,0.00031741308950649445,0.0
-13.436139,11.873006,12.132809,logic gate,0.00010635061782313282,0.0
11.595691,18.606276,5.754496,theory of mind,0.0008936620234402578,0.0
-8.924888,5.9810853,8.060339,fuzzy logic,4.233652867165292e-05,0.0
10.725242,13.75073,-0.050303686,predictive coding,9.953241761908785e-05,0.0
-26.085087,-0.9854519,5.4713936,interval finite element,0.00013698073400412235,0.0
8.930151,-2.1986268,-5.7366877,biologically inspired computing,0.00022854264976577995,0.0
4.6846933,2.048219,17.162867,relational algebra,0.000669728785218211,0.0
20.079542,8.1894,7.637499,speech repetition,0.00017576083266873698,0.0
-18.425474,4.5233984,-2.1077397,stream processing,8.90540572855568e-05,0.0
-0.70532566,19.323586,-5.486753,visual illusion,0.00021594573388887084,0.0
-10.383586,-15.410162,22.473228,ising model,0.0006932092990676577,0.0
-23.293493,4.4514375,5.9887013,floating point,4.233652867165292e-05,0.0
2.849945,-17.939419,0.13261919,cluster analysis,4.233652867165292e-05,0.0
15.227489,-7.0016966,16.526981,natural-language programming,4.233652867165292e-05,0.0
12.302745,-15.299172,-12.861156,open data,4.233652867165292e-05,0.0
-2.598554,16.080042,14.875592,principle of bivalence,0.0001278088991798083,0.0
10.713397,-22.335768,9.965969,web analytics,0.0012983015862913377,0.0
-17.674448,7.4143634,-9.781729,opencl,0.0004652619608360178,0.0
-15.367367,-8.510914,6.4628487,space mapping,0.0004723891746506655,0.0
18.408085,3.2102253,-1.5045292,collective effervescence,0.00031687061258983234,0.0
-4.348574,-12.324899,-5.8978076,deep learning,0.00029721949721250374,1.0
-4.6048956,-22.655506,7.0001073,kalman filter,0.00012621126879041274,0.0
10.694082,-24.494072,2.1555185,social network analysis,0.0005360712465284898,0.0
-21.086092,12.097736,2.498494,vision processing unit,0.00015894874446213436,0.0
4.3742876,17.610958,11.127426,map–territory relation,0.00014979975012301486,0.0
22.742266,15.756269,-7.06076,ecology,6.63065017147007e-05,0.0
9.474945,0.3474027,13.718824,siri (software),0.00020146015619550942,0.0
-11.291324,14.401701,17.5393,catch-22 (logic),0.00024448341898827223,0.0
13.2754755,-19.936647,-0.12140153,web scraping,0.00025645180526085034,0.0
-9.396279,16.833342,11.354037,many-valued logic,0.0005922204085804537,0.0
0.11895486,8.988064,-4.520625,mathematical neuroscience,0.0001371361177054676,0.0
7.9673204,5.0359545,1.2087612,simulated consciousness,0.00044810454532283366,0.0
-5.5377584,9.954497,11.75962,boolean algebra (structure),0.000812149775335358,0.0
17.112938,2.6482043,-14.003171,meme,0.00010488764821344822,0.0
15.280457,7.4812703,13.384463,linguistics,0.00024507245693520315,0.0
21.192112,6.0266476,-0.70406866,group behaviour,6.896141813706579e-05,0.0
11.216019,-6.848206,-27.984167,lifecasting (video stream),0.00013661419260231858,0.0
-12.411243,-5.1174364,-2.1312828,analog signal processing,0.0002751392397727306,0.0
13.374454,-6.262088,-28.756464,lifestreaming,0.0005649034702205228,0.0
18.96202,2.5078664,-5.1414204,crowd psychology,0.0009562354146988573,0.0
2.1354103,5.3180766,16.71483,first-order logic,0.00010631252821658853,0.0
-8.247749,-0.3673641,16.130527,logistic function,0.0010922450235178987,0.0
-6.2035894,15.471993,-6.036075,motion perception,0.0003900176169267207,0.0
17.681002,-14.796089,2.768344,distributional semantics,0.0003402556291056437,0.0
22.307524,-18.386742,0.08372925,open source intelligence,0.0003856378289608156,0.0
6.492162,-9.040784,-18.134518,robotic mapping,0.0007501257351335138,0.0
-17.192257,-8.482007,17.048922,conservation biology,8.01689252082998e-05,0.0
18.990856,6.7696123,-13.599593,marketing research,0.0005042642375954681,0.0
4.220716,-17.173594,-1.2538116,data clustering,0.000479392562605189,0.0
4.232018,14.959489,-12.2032,visual system,0.00010126137944567348,0.0
11.505749,12.325488,10.329489,mental model,8.92872828212172e-05,0.0
-19.764317,5.568678,-8.086585,gpgpu,0.00041654321380740766,0.0
18.606823,20.140043,-3.7224827,recognition of human individuals,0.00022529547245398146,0.0
-21.912167,-3.8360622,12.136334,forestry,0.00026057747076804234,0.0
-6.424104,-6.2342687,-24.973793,holography,0.00021164566898051651,0.0
-3.0543513,4.233913,19.855936,exclusive or,0.00037523610462630354,0.0
-13.110417,9.797391,-15.737993,unified video decoder,0.0008510068531744083,0.0
8.909268,-5.318047,-13.731668,darpa,4.326438214984663e-05,0.0
-13.819422,-12.768663,-10.84062,fourier analysis,0.00010165146782850409,0.0
4.4917336,7.358612,0.58319205,neural correlate,0.0005154203705852717,0.0
3.8974164,-10.983919,-1.6598086,pattern recognition,0.0006295114277553937,0.0
23.506609,4.149946,11.839507,language acquisition,0.001495201407912309,0.0
4.010479,18.430157,1.2896409,hard problem of consciousness,0.00029655895376052736,0.0
-15.392399,-14.84343,-3.1522515,normal distribution,0.0006764020842406876,0.0
15.489762,-7.1897583,-2.583745,collaborative filtering,0.00019951476451362634,0.0
9.316471,-13.621746,-15.792903,open-source software,0.00047196132625173165,0.0
3.0798051,1.9667791,-19.208353,smartdust,0.0002507943232147424,0.0
23.07896,-1.6225944,15.119761,foreign language reading aid,4.326438214984663e-05,0.0
-1.3959512,15.466991,-19.096424,gamma correction,0.0007653922861543645,0.0
-15.60747,2.788365,1.3806405,informatics (academic field),0.0001594353220325628,0.0
3.7239063,-10.270987,9.843649,black box,0.0004668625375196929,0.0
12.963815,-14.546088,11.422579,structured query language,0.00034435460399163573,0.0
3.008161,4.402024,-26.172867,virtual reality,0.0012940202835906242,0.0
9.093528,20.2505,11.105525,intentional stance,0.0005431557811505425,0.0
-7.100894,-16.135654,13.11998,stochastic process,0.0009978517506599558,0.0
23.435087,-0.11197417,12.443116,computer-assisted language learning,0.0002087731513868318,0.0
14.615447,-10.192355,7.756166,information extraction,0.0009057883096367038,0.0
14.17284,24.102625,-2.3015037,n170,0.0003333948806351005,0.0
-19.98002,-6.9550815,-12.652824,adaptive optics,4.326438214984663e-05,0.0
7.726666,-15.658867,-3.5538878,predictive analytics,0.0004899657100912062,0.0
20.915289,-2.1786132,13.591356,language education,4.7467317328340476e-05,0.0
-20.969063,9.773367,-8.027394,parallel computing,4.7467317328340476e-05,0.0
-13.564221,9.3921175,21.387438,cycle of poverty,0.00024071136407422073,0.0
-1.1196547,-12.21507,-0.5391903,vector quantization,4.7467317328340476e-05,0.0
-13.9084635,1.957975,16.568111,self-fulfilling prophecy,0.0002980291486612696,0.0
-11.522677,7.416745,-6.3832197,system on a chip,0.0004792334943854403,0.0
20.68608,-14.289582,-8.17843,data governance,0.00021757697570590066,0.0
12.0551605,18.352158,-2.7834005,cognitive neuropsychology,0.0004517395436985294,0.0
-19.52732,7.9984126,-1.4878824,hardware acceleration,8.622893735385541e-05,0.0
12.633906,-6.168483,-10.51409,the wisdom of crowds,0.0001944938958009269,0.0
23.465775,0.21421713,14.371062,foreign-language reading aid,8.318211153308242e-05,0.0
22.641724,5.0212727,14.650127,origin of language,4.919206366611124e-05,0.0
-26.089144,11.313183,-7.0377665,computer cluster,0.00012048867904673373,0.0
5.491605,-0.33024758,13.817804,prolog,8.763046021995828e-05,0.0
-4.723252,4.60631,13.016404,decision tree,5.074575083486678e-05,1.0
0.674198,6.8654776,4.4477415,social complexity,0.00036817255708425204,0.0
-6.6339717,4.5018454,-12.96975,sound card,0.0004577646967134442,0.0
-19.296738,-3.4459844,13.314548,silviculture,4.4958241138628493e-05,0.0
-20.402662,5.846165,-8.924513,general-purpose computing on graphics processing units,0.0004906025175204203,0.0
0.9026669,16.37924,19.658243,mereology,0.0011227319547562312,0.0
10.380015,9.548137,0.63876384,situated cognition,4.4958241138628493e-05,0.0
-7.9640665,15.416296,-5.608347,motion sensing in vision,4.4958241138628493e-05,0.0
13.479185,20.53083,-2.7654672,prosopagnosia,4.4958241138628493e-05,0.0
2.7733676,-21.177723,8.249325,big data,4.4958241138628493e-05,0.0
12.294871,-2.4458396,-29.132195,digital footprint,7.46347258861782e-05,0.0
-3.0409951,-12.37004,6.7973313,optimal design,4.4958241138628493e-05,0.0
-15.240312,9.65908,-15.07911,nvidia purevideo,0.0002146962536986986,0.0
-14.412292,-9.251147,-2.592561,digital filter,0.00017750631390937944,0.0
-1.8527255,17.41823,-15.040079,color theory,0.00025893814100958157,0.0
-2.3810012,-18.084612,7.380458,monte carlo method,0.00023512540384355033,0.0
-5.3366094,1.577124,16.765192,indicator function,0.0006699285931749178,0.0
-0.011701008,-10.176745,-3.4788864,computer vision,0.0005187689207900429,1.0
15.421859,10.186091,-2.029494,social neuroscience,0.0004307372138870881,0.0
-15.168258,-14.973409,-6.1897225,convolution,0.00046211630268460806,1.0
7.532484,16.10912,-19.840467,eye care professional,8.835873098509622e-05,0.0
-10.0936985,-20.47263,-11.214912,autocorrelation,0.0001619945475759559,0.0
-19.395027,7.1705804,-11.455327,cuda,4.047275628353737e-05,0.0
7.7468095,-0.03805218,1.8698139,analogy,0.0011932867181130493,0.0
2.4363542,-14.35771,2.966935,multivariate analysis,4.047275628353737e-05,0.0
27.226229,0.3190569,15.544066,virtual world language learning,0.00020893775895249254,0.0
4.815964,18.94073,15.432109,constructivist epistemology,0.00014702912756902573,0.0
7.969158,-16.276447,-16.658651,mono (software),0.0004290852004351344,0.0
-1.7913214,-9.372034,5.9830875,model selection,0.0005931322266886211,0.0
-15.696477,14.146801,-0.8400877,cpu,0.0005344852349528334,0.0
-10.562796,-14.036073,-10.443429,spectral density,0.00015081535466113038,0.0
-6.1034493,16.83316,13.972449,degrees of truth,0.00043275580966157623,0.0
5.620074,21.239107,4.4371705,eliminative materialism,0.00035807870643913067,0.0
-7.8120894,-12.0617075,-12.684807,signal processing,0.0003912634806618012,0.0
12.700381,-12.939864,-19.168402,open-source hardware,4.047275628353737e-05,0.0
6.810729,-7.793395,-15.660456,simultaneous localization and mapping,0.0006224426897658358,0.0
8.888544,20.100348,-3.8953598,face perception,4.047275628353737e-05,0.0
17.077702,13.599826,-2.0712235,affect (psychology),0.0005082439628437445,0.0
13.219756,13.319508,-5.216357,biological psychology,0.0003365455718150534,0.0
12.544398,-2.8699458,-22.459612,diary,0.00014521906690256599,0.0
11.273898,10.581612,2.5038915,enactivism,0.0004477217568834269,0.0
-18.439846,-4.462561,-4.057546,impulse response,0.0007292921498214401,0.0
18.53357,3.945195,18.745235,basic english,0.0005615360705825043,0.0
10.822292,7.337759,13.711908,symbol grounding,0.0004432949922703078,0.0
8.581214,20.464472,8.320603,philosophy of mind,0.00042939591885782517,0.0
-13.521458,-13.033286,6.0310397,conceptual model,4.828934243144249e-05,0.0
8.801985,-1.7917142,17.036932,knowledge representation,4.828934243144249e-05,0.0
-8.515856,7.740294,-6.480148,system integration,0.0002244514933584217,0.0
-1.7557602,12.119745,17.559858,truth function,4.9088976724765305e-05,0.0
-20.409828,13.717537,-9.701257,high performance computing,4.9088976724765305e-05,0.0
-19.417568,-16.88323,7.083452,newton's method,4.9088976724765305e-05,0.0
-7.5294013,17.825766,-8.456448,strobe light,4.9088976724765305e-05,0.0
3.1213057,5.117738,-6.180989,blue brain project,4.9088976724765305e-05,0.0
-9.776568,-17.513035,15.229037,markov process,8.448851117818292e-05,0.0
-3.5865986,-20.170965,13.000665,markov decision process,7.181383316510335e-05,0.0
-9.53231,-15.799893,15.769949,markov chain,4.9088976724765305e-05,0.0
17.87082,10.217111,4.9396696,mirror neuron,0.0001266052622033332,0.0
-14.47027,9.90133,-18.835531,x-video motion compensation,4.6727393860303673e-05,0.0
4.647913,3.3623955,1.9948035,conceptual space,9.482980123467204e-05,0.0
3.4876046,4.467005,-3.7927945,computational neuroscience,4.6727393860303673e-05,0.0
15.851542,-9.389749,-6.9595366,human-based computation,6.807188359080413e-05,0.0
20.216772,0.45717666,12.572737,glossary of language teaching terms and ideas,6.807188359080413e-05,0.0
24.194376,-7.982862,0.5479598,controlled vocabulary,6.807188359080413e-05,0.0
-11.416605,-2.6136968,12.9853945,logistic regression,6.807188359080413e-05,0.0
10.641855,1.4737792,16.92409,natural-language understanding,6.807188359080413e-05,0.0
-21.550013,6.817613,-3.6365466,vector processor,0.00013115211218060085,0.0
-22.362286,13.579338,1.4406456,direct memory access,9.626753425765201e-05,0.0
1.960976,15.061745,13.916707,philosophical realism,6.807188359080413e-05,0.0
10.167077,-4.4563136,1.5635982,collective problem solving,6.807188359080413e-05,0.0
13.679199,11.301052,-3.5716164,cognitive neuroscience,0.00019651217483423553,0.0
17.239714,-9.885912,-3.6558228,enterprise bookmarking,0.00012701960911164515,0.0
3.800668,-8.057034,-5.3058934,artificial intelligence in healthcare,0.0002433641358895722,0.0
-2.9111793,8.837752,15.821747,boolean-valued function,0.0002923868353865874,0.0
-1.2577517,1.339794,7.0647936,immunity to change,4.588418602427724e-05,0.0
15.893848,0.8888326,-22.323965,human enhancement,0.00022253492413065702,0.0
13.050158,10.51843,-13.623833,eye movement (sensory),0.000391521578149613,0.0
5.4090176,15.90106,16.393177,model-dependent realism,0.0004956601478780173,0.0
-4.8565874,5.190784,15.655964,boolean function,8.974566877246243e-05,0.0
11.116331,-6.660152,15.1374035,automatic programming,0.00036208576438301576,0.0
4.456208,21.674492,-17.198074,distinction of blue and green in various languages,8.197628825503009e-05,0.0
-12.9756565,1.4253399,0.10774529,electronics,4.273875600249903e-05,0.0
-13.677697,6.002708,-11.207391,opengl,0.0004103271520616573,0.0
10.397813,11.526487,-4.197887,neuroscience,0.0006844007424297934,1.0
-1.6605618,-8.0251255,-12.544738,computational models of musical creativity,0.00037669108588950863,0.0
7.490027,-1.9633763,16.934313,knowledge representation and reasoning,0.00037478830377746117,0.0
-5.212179,0.9107543,-21.627419,structure from motion,0.00021081116740707132,0.0
7.976802,5.537939,14.3082285,computational semiotics,0.00017996649174110074,0.0
15.0530405,9.814428,-17.976492,eye tracking,0.0001035303835534063,0.0
-18.302711,16.371565,-0.6545146,bus (computing),0.0003616827282668968,0.0
11.671217,-5.0310283,-1.0427231,collective decision-making,0.00013023186802229734,0.0
-19.479513,-5.7482867,-0.9878048,green's function,0.0001617123918232104,0.0
-8.931684,-12.075052,-24.891212,derivative work,0.00012474236897391816,0.0
-0.8046378,11.95185,-3.7114446,systems neuroscience,0.0003258152442529501,0.0
-9.62381,-16.720167,-10.755989,cross-correlation,8.48144270165596e-05,0.0
-17.39307,-8.5648775,-7.326084,deconvolution,8.33662902210941e-05,0.0
-26.371935,-1.8917558,-1.9735575,computational electromagnetics,0.00022041294678032213,0.0
11.327386,25.049995,7.2156105,society of mind,4.5969053531535006e-05,0.0
-18.267853,8.088862,-14.423868,nvidia,4.5969053531535006e-05,0.0
15.652535,11.888999,-15.041541,saccade,4.5969053531535006e-05,0.0
-13.779425,-0.3082664,-6.1397033,series and parallel circuits,0.00017390132673348666,0.0
22.480703,-8.927687,16.321163,sentence case,7.422132178384552e-05,0.0
10.852256,-6.9428377,19.066872,mathematica,0.0004897071978646208,0.0
10.598167,15.103633,-3.360132,neuropsychology,0.00010123200754560732,0.0
17.792908,-0.39715496,-0.5749684,keeping up with the joneses,4.5969053531535006e-05,0.0
12.354029,-18.70777,-3.9940002,data curation,0.0010225794527705223,0.0
3.3970985,6.951825,-2.790681,models of neural computation,0.00022319421085538723,0.0
12.758961,13.546808,-6.910615,behavioral neuroscience,0.00020355642407806658,0.0
8.2533045,13.093552,-18.894985,orthoptics,0.0001396806550936046,0.0
-5.738578,14.145262,8.34294,binary decision diagram,4.415065511945676e-05,0.0
24.55859,1.4188324,10.196108,second-language acquisition,7.660729414217377e-05,0.0
12.701844,11.731266,-13.868206,eye movement,7.208241509879543e-05,0.0
3.7631676,-14.382661,-7.5769663,jurimetrics,9.941360913352908e-05,0.0
1.5164516,16.309475,14.170569,conceptualist realism,4.415065511945676e-05,0.0
1.1464363,15.186069,1.0605346,quantum mind,4.415065511945676e-05,0.0
-5.8506293,-12.550292,7.668866,fisher information,0.0007006707972400964,0.0
4.6140447,8.977003,21.2478,intuitionistic propositional calculus,7.294158125239342e-05,0.0
2.172335,18.404602,-15.186487,vision science,7.778549833430568e-05,0.0
2.9831266,21.105143,16.759296,epistemology,7.116134088121856e-05,0.0
-2.6507504,-6.25033,7.821542,validity (statistics),9.799914435829167e-05,0.0
15.884354,5.9522967,-5.9018874,cybernetics,4.415065511945676e-05,0.0
9.056956,-9.544227,-7.513113,problem structuring methods,9.497652962403927e-05,0.0
9.1119795,3.0584266,-10.486085,social simulation,0.0014800113173940828,0.0
-1.0359664,-1.9795421,6.7841334,ooda loop,7.325994359956561e-05,0.0
-6.9616785,-13.19766,-8.940036,eeg analysis,8.411651963361372e-05,0.0
-4.433328,3.9552135,-3.3443968,pattern matching,6.788549964920919e-05,0.0
-15.485925,-15.615671,4.9992685,surrogate model,4.415065511945676e-05,0.0
17.23667,14.495963,1.5606481,biological motion,4.415065511945676e-05,0.0
-2.1977563,-12.148436,28.863651,3gpp,4.415065511945676e-05,0.0
12.463935,24.061495,7.409945,society of mind theory,5.3187791523979895e-05,0.0
-25.218775,11.465645,3.481613,channel i/o,5.3187791523979895e-05,0.0
-1.3404858,14.850519,-5.6908383,auditory illusion,0.00014382022363862838,0.0
2.4373908,11.209476,4.121377,cognitive map,5.3187791523979895e-05,0.0
17.794044,9.501177,0.5350069,emotional contagion,0.00011139358115284154,0.0
18.83031,-6.768849,-2.8549552,recommendation system,6.934234403104172e-05,0.0
13.086097,19.397013,-18.287752,eye,0.000535568886952708,0.0
-4.2396507,20.712626,-4.3860483,infrasound,0.00011824443016484994,0.0
-6.7208247,-17.15074,3.0478399,inverse problems,6.0413389587185136e-05,0.0
-2.1897743,7.0312386,-14.322081,acoustic location,0.00010440141742249282,0.0
14.49123,-15.472784,2.2759922,latent semantic analysis,6.0413389587185136e-05,0.0
-6.4616785,4.3847976,6.369259,rough sets,0.00016230248778119883,0.0
-16.075035,7.071698,-4.887872,larrabee (microarchitecture),6.0413389587185136e-05,0.0
10.809552,-4.224226,-25.50684,lifelogging,3.930089734419978e-05,0.0
11.510478,11.781245,-17.325205,peripheral vision,0.00010607564721308559,0.0
-8.707904,-1.4888153,3.714615,signal-flow graph,9.009985786528722e-05,0.0
18.017765,-1.2254937,15.722689,language reform,0.00011128255075208621,0.0
-8.049214,-18.191797,10.341724,probability,9.895934213988821e-05,0.0
21.719383,-5.4511623,5.983779,natural-language user interface,0.0003692509516580738,0.0
16.015978,12.3531065,2.8397033,common coding theory,3.930089734419978e-05,0.0
-8.015895,-14.600838,19.147373,markov random field,6.0413389587185136e-05,0.0
3.3702166,1.829928,9.114366,reification (computer science),0.0003288813843680412,0.0
6.8603916,-19.27023,-8.085323,racial profiling,6.0413389587185136e-05,0.0
10.648432,16.64493,-19.312092,ophthalmology,0.00011088079764790456,0.0
-4.1862054,12.4971285,6.7797794,logic optimization,6.0413389587185136e-05,0.0
-18.122887,9.998273,18.445587,cycle of violence,6.0413389587185136e-05,0.0
-8.719779,-9.908408,12.626945,principle of maximum entropy,3.930089734419978e-05,0.0
13.335953,3.1334746,0.94798434,cognitive biology,4.1789014573967564e-05,0.0
-22.611963,11.71416,-8.2342415,manycore processor,6.786027935052437e-05,0.0
-5.0456314,6.1852574,18.840021,symmetric difference,0.000198535986305532,0.0
7.9797826,-11.165828,-17.282907,microsoft robotics studio,8.451275726211289e-05,0.0
19.75182,-3.3748734,-4.906137,smart mob,4.1789014573967564e-05,0.0
-1.9560897,13.574877,9.862318,venn diagram,7.948640154684587e-05,0.0
8.387721,10.48817,-16.522732,blindness,4.1789014573967564e-05,0.0
-1.6549996,-3.0237842,-12.661725,music information retrieval,4.1789014573967564e-05,0.0
5.6136866,-1.1561931,1.0881944,case based reasoning,0.0010514286536628347,0.0
14.176758,10.841618,-6.8695264,neuroethology,5.219630595210729e-05,0.0
-20.752108,13.328753,8.092595,bit,8.0179437406145e-05,0.0
15.003435,-16.18083,1.9706049,latent semantic indexing,8.060739010138899e-05,0.0
12.274142,8.212906,2.063109,distributed cognition,5.219630595210729e-05,0.0
-19.553768,5.2857285,-15.677702,molecular design software,5.219630595210729e-05,0.0
-1.508847,12.213002,-22.744963,hyperspectral imaging,8.173052149038671e-05,0.0
-3.5480223,-1.138151,-21.541323,epipolar geometry,5.219630595210729e-05,0.0
0.6020356,-10.913359,24.440207,wi-fi,5.219630595210729e-05,0.0
9.612907,17.980053,2.4276702,cetacean intelligence,5.219630595210729e-05,0.0
20.572742,5.0025024,16.976925,lexicostatistics,5.219630595210729e-05,0.0
18.783077,-10.42791,9.091495,semantic translation,8.251818752141894e-05,0.0
-2.0062447,6.950483,-14.724146,acoustic source localization,5.219630595210729e-05,0.0
-1.7777512,10.314253,19.955498,truth table,5.219630595210729e-05,0.0
20.499138,0.7474981,9.275938,language transfer,5.219630595210729e-05,0.0
-5.9270926,-12.390984,-14.982079,digital image mosaic,5.219630595210729e-05,0.0
0.39627147,2.593502,-7.989244,cognitive computing,5.219630595210729e-05,0.0
14.422599,2.8567367,-11.370124,neural darwinism,5.219630595210729e-05,0.0
12.314295,9.300421,5.872801,embodied cognitive science,5.219630595210729e-05,0.0
-7.582208,-7.688431,24.044695,wimax,5.219630595210729e-05,0.0
-8.352131,-5.942345,8.757447,boosting (meta-algorithm),8.945822437293245e-05,0.0
-5.170669,13.168391,18.122261,logical value,5.219630595210729e-05,0.0
3.6953535,17.769415,18.473413,ontological pluralism,5.219630595210729e-05,0.0
-22.884836,-8.157314,0.3190059,finite difference methods,5.219630595210729e-05,0.0
-4.855996,6.696361,-12.458392,head-related transfer function,5.219630595210729e-05,0.0
-0.81771684,14.492725,2.1916265,quantum cognition,0.00011371404734378382,0.0
-11.687753,17.645891,14.97642,mu (negative),5.219630595210729e-05,0.0
-15.351034,10.554003,0.8637378,instruction set architecture,5.219630595210729e-05,0.0
-8.278805,8.201838,14.5258045,boolean algebra (logic),5.219630595210729e-05,0.0
6.760603,0.45106384,-17.448952,urban informatics,0.00017701881170560226,0.0
-11.631914,-0.5497292,15.763761,limited dependent variable,6.286346958664967e-05,0.0
-11.76609,-16.55438,2.0972967,kriging,4.194187453002299e-05,0.0
